title,tagline
Extremities,"When fear made her a victim, she turned fear into a weapon."
The Karate Kid,Only the 'Old One' could teach him the secrets of the masters.
"The Karate Kid, Part II","This time, the combat is real."
"The Karate Kid, Part III","First it was teacher to student. Then it was father to son. Now, it's man to man."
National Lampoon's Christmas Vacation,Yule crack up.
You've Got Mail,Someone you pass on the street may already be the love of your life.
The General,"The extraordinary true story of the rise and fall of the gangster, Martin Cahill."
The Thin Red Line,Every man fights his own war.
The Faculty,Take me to your teacher.
Mighty Joe Young,Survival is an instinct.
Mighty Joe Young,Merian Cooper's amazing adventure in the unusual!
Patch Adams,Laughter is contagious
Stepmom,Be there for the joy. Be there for the tears. Be there for each other.
A Civil Action,Justice has its price.
Down in the Delta,"Sometimes, the last place you expected to be is the one place you've always belonged..."
Hurlyburly,
Tea with Mussolini,
Wilde,Loved for being unique. Hated for being different.
Outside Ozona,Somewhere down the road is the end of the line.
Affliction,
Another Day in Paradise,We live at the abyss.
The Hi-Lo Country,A woman like Mona can drive men to extremes.
Hilary and Jackie,Two sisters. Two lives. One Love...
Playing by Heart,"If romance is a mystery, there's only one way to figure it out."
At First Sight,Science gave him sight. She gave him vision.
In Dreams,You don't have to sleep to dream
Varsity Blues,It takes a hero to know what's worth winning.
Virus,Life on earth is in for a shock.
The Garbage Pail Kids Movie,It doesn't get any grosser than this!
Howard the Duck,You will believe that a duck can talk.
The Gate,Pray it's not too late.
The Boy Who Could Fly,A very special love. And a very special magic. But is it real magic or just an illusion?
The Fly,If she looked upon the horror her husband had become... she would scream for the rest of her life!
The Fly,Be afraid. Be very afraid.
The Fly II,Like Father Like Son
Running Scared,Two of Chicago's Finest?
Armed and Dangerous,Undercover. Overdressed. And keeping you safe from the scum of the earth
The Texas Chain Saw Massacre,Who will survive and what will be left of them?
The Texas Chainsaw Massacre 2,After a decade of silence... The buzzz is back!
Leatherface: Texas Chainsaw Massacre III,He puts the teeth in terror.
Texas Chainsaw Massacre: The Next Generation,"If looks could kill, he wouldn't need a chainsaw."
Ruthless People,Sam Stone's wife has just been kidnapped... And he doesn't want her back!
Trick or Treat,What are you afraid of? It's only rock and roll...
Deadly Friend,There's no one alive who'll play with the girl next door.
The Name of the Rose,"Who, in the name of God, is getting away with murder?"
Jumpin' Jack Flash,An Adventure In Comedy
Peggy Sue Got Married,"Knowing what you know now, what would you do differently?"
Crocodile Dundee,There's a little of him in all of us.
Crocodile Dundee II,The world's favourite adventurer is back for more! much more!
Tough Guys,They're Out To Teach A New World Some Old Tricks.
Soul Man,A comedy with heart and soul
The Color of Money,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.
52 Pick-Up,They shouldn't have blackmailed Harry Mitchell. He made them pay - in blood...
Heartbreak Ridge,...the scars run deep.
¡Three Amigos!,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!"
Gloria,Gloria. Big mouth. Big attitude. But who knew she had a big heart.
My Name Is Joe,
Still Crazy,"They were ""Strange Fruit"". Some called them the greatest rock band of the '70s. They haven't played together for 20 years. No wonder they're worried about their performance."
The Day of the Beast,A devilishly dark comedy
She's All That,These two opposites attract... but EVERYONE'S trying to keep them apart!
The 24 Hour Woman,A story about getting everything you want and what comes next
"Blood, Guts, Bullets and Octane",
Peeping Tom,What made this the most diabolical murder weapon ever used?
Payback,No More Mr. Nice Guy.
Simply Irresistible,Magic opened up their hearts... Love did the rest.
20 Dates,A comedy so real you'll think it's fiction.
Comedian Harmonists,
The Last Days,Everything you're about to see is true.
Fantastic Planet,A Sublime Trip to a Fine New World
Blast from the Past,She'd never met anyone like him. He's never met anyone... Period.
Message in a Bottle,A story of love lost and found.
My Favorite Martian,The martian has landed. There goes the neighborhood.
"God Said, 'Ha!'",
Jawbreaker,Suck it and see...
October Sky,Sometimes one dream is enough to light up the whole sky.
Office Space,Work sucks.
200 Cigarettes,It's 11:59 on New Years Eve... do you know where your date is?
8MM,You can't prepare for where the truth will take you.
The Other Sister,A love story for the romantically challenged.
Breakfast of Champions,
The Long Goodbye,Nothing says goodbye like a bullet...
Pet Sematary,Sometimes dead is better.
Pet Sematary II,Raise Some Hell.
Children of the Corn II: The Final Sacrifice,These children are home alone too. But their parents are never coming back.
Children of the Corn III: Urban Harvest,An Adult Nightmare is about to show its face in the heart of a city!
Christine,How do you kill something that can't possibly be alive?
Night Shift,"Ever since two enterprising young men turned the City Morgue into a swinging business, people have been dying to get in."
House on Haunted Hill,Consult your doctor! Bring your seat belts!
Airport,The #1 novel of the year - now a motion picture!
Airport 1975,"Something hit us... The crew is dead... Help us, please, please help us!"
Airport '77,"Flight 23 has crashed in the Bermuda Triangle... passengers still alive, trapped underwater..."
Rollercoaster,Watch out for the Man watching the Rollercoaster
The Towering Inferno,The world's tallest building is on fire. You are there on the 135th floor ... no way down ... no way out.
Alligator,"It lives 50 feet beneath the city. It's 36 feet long. It weighs 2,000 pounds...And it's about to break out!"
Meteor,There's No Place On Earth To Hide!
Westworld,Westworld ...where robot men and women are programmed to serve you for ...Romance ...Violence ...Anything
Logan's Run,The only thing you can't have in Logan's world is your 30th birthday. Unless you run away.
Planet of the Apes,"Somewhere in the Universe, there must be something better than man!"
Beneath the Planet of the Apes,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!
Battle for the Planet of the Apes,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!
Conquest of the Planet of the Apes,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!
Escape from the Planet of the Apes,Meet baby Milo who has Washington terrified.
Avalanche,Six million tons of icy terror!
Earthquake,When the big one finally hits L.A.
The Concorde... Airport '79,"At twice the speed of sound, can the Concorde evade attack?"
Beyond the Poseidon Adventure,"Before her fate is sealed by the deep, the superliner Poseidon will reveal one last secret."
Analyze This,New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.
The Corruptor,You can't play by the rules if there aren't any.
Cruel Intentions,"In the game of seduction, There is only one rule: Never fall in love."
"Lock, Stock and Two Smoking Barrels",A Disgrace to Criminals Everywhere.
Relax... It's Just Sex,
The Deep End of the Ocean,The search for her son was over. The search for her family was just beginning.
The Rage: Carrie 2,Looks Can Kill
Wing Commander,An action packed thrill ride!
The Haunting,You may not believe in ghosts but you cannot deny terror
Dead Ringers,Two bodies. Two minds. One soul.
My Boyfriend's Back,A comedy that proves true love never dies.
Village of the Damned,What Demonic Force Lurks Behind Those Eyes?
Children of the Damned,Beware the eyes that paralyze!!!
Baby Geniuses,Think innocent. Think helpless. Think again. Naps are history.
I Stand Alone,In the bowels of France
Forces of Nature,"He went from the eye of the storm, into the arms of a hurricane."
The King and I,The All New Animated Family Spectacular Adapted From The Musical By Rodgers And Hammerstein
Ravenous,You Are Who You Eat
True Crime,
Bandits,They Always Wanted to be Famous... They Never Knew They'd be Wanted!
Dangerous Beauty,Born without privilege. Bound by tradition. She found the courage to follow her heart.
The King and I,More than your eyes have ever seen... More than your heart has ever known!
Doug's 1st Movie,You'll Dig Doug!
Edtv,Fame. Be careful. It's out there.
The Mod Squad,First they broke the law. Now they are the law.
Among Giants,"a love story from the writer of ""The Full Monty""."
A Walk on the Moon,It was the summer of Woodstock... when she became the woman she always wanted to be.
The Matrix,Welcome to the Real World.
10 Things I Hate About You,How do I loathe thee? Let me count the ways.
Tango,Tango: do not ever leave me
The Out-of-Towners,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why."
The Dreamlife of Angels,
Metroland,
Following,
Go,A weekend wasted is never a wasted weekend.
Never Been Kissed,A Comedy With Class.
Twin Dragons,Twice the action!
Cookie's Fortune,"Welcome to Holly Springs... home of murder, mayhem and catfish enchiladas."
Lovers of the Arctic Circle,Destiny cannot be denied.
Goodbye Lover,No one's ever been so good at being so bad.
Life,Share it with someone you love.
Friends & Lovers,... can you tell the difference?
Hideous Kinky,A Journey to Love
Open Your Eyes,
SLC Punk,God bless America... they're going to need it.
Lost & Found,A comedy about a guy who would do anything to get the girl of his dreams - and did!
Pushing Tin,A comedy about losing control
Election,Reading. Writing. Revenge.
eXistenZ,Play it. Live it. Kill for it.
Entrapment,The trap is set.
Idle Hands,The touching story of a boy and his right hand.
Get Real,
The King of Masks,
Three Seasons,The war is over.  But a personal battle continues to rage.
The Winslow Boy,
Mildred Pierce,A mother's love leads to murder
Night of the Comet,They came. They Shopped. They saved the world!
My Science Project,We must not destroy the world.
Dick Tracy,Their turf. Their game. Their rules. They didn't count on HIS law...
The Mummy,The legend you know. The adventure you have yet to imagine.
The Castle,Ordinary Family. Extraordinary Story.
This Is My Father,A Journey Of The Heart.
Xiu Xiu: The Sent-Down Girl,
A Midsummer Night's Dream,Hold on to Your Heart. Cupid is Armed and Dangerous.
After Life,What is the one memory you would take with you?
Black Mask,
Edge of Seventeen,
Endurance,
Star Wars: Episode I - The Phantom Menace,Every generation has a legend. Every journey has a first step. Every saga has a beginning.
The Love Letter,No one knows who sent it. No one knows who it's for. But everyone's getting the same message.
Besieged,Touched by Genius. Cursed by Madness. Blinded by Love.
Frogs for Snakes,They collect for the mob. But they'd rather act. Expect killer performances.
The Mummy,It comes to life!
The Mummy,Torn from the tomb to terrify the world!
The Mummy's Curse,HANDS CREEPING LIKE COBRAS! EYES CRAWLING WITH MADNESS! THE MUMMY RUNS AMOK!
The Mummy's Ghost,Nameless! Fleshless! Deathless!
The Mummy's Hand,The tomb of a thousand terrors!
The Mummy's Tomb,The FEAR of the Year!
Mommie Dearest,The meanest mother of them all
Superman,You'll Believe a Man Can Fly!
Superman II,The Man of Steel meets his match!
Superman III,If the world's most powerful computer can control even Superman...no one on earth is safe.
Superman IV: The Quest for Peace,"Nuclear Power. In the best hands, it is dangerous. In the hands of Lex Luthor, it is pure evil. This is Superman's greatest battle. And it is for all of us."
Dracula,The story of the strangest passion the world has ever known!
House of Frankenstein,All the Screen's Titans of Terror - Together in the Greatest of All SCREEN SENSATIONS!
Frankenstein,The man who made a monster.
Son of Frankenstein,The black shadows of the past bred this half-man . . . half-demon ! . . . creating a new and terrible juggernaut of destruction !
The Ghost of Frankenstein,All new THRILLS!
Frankenstein Meets the Wolf Man,
The Curse of Frankenstein,The creature created by man and forgotten by nature!
Son of Dracula,BLOOD on his lips...! DOOM in his eyes...! an accursed VAMPIRE!
The Wolf Man,"""His hideous howl a dirge of death!"""
Howling II: Stirba - Werewolf Bitch,It's not over yet.
Tarantula,More terrifying than any horror known to man comes a creeping crawling monster whose towering fury no one can escape!
The Rocky Horror Picture Show,A Different Set Of Jaws.
It Came from Hollywood,We're going to make you LAUGH.
The Thing from Another World,Look Out...It's The Thing
It Came from Outer Space,Fantastic sights leap out at you!
The War of the Worlds,Amazing! terrifying! The most savage spectacle of all time!
Invasion of the Body Snatchers,... there was nothing to hold onto - except each other.
Swamp Thing,Science changed him into a monster. Love changed him even more!
Pork Chop Hill,Bold! Blunt! Blistering! The battle picture without equal!
"Run Silent, Run Deep",Gable and Lancaster make the seas boil in the battle adventure that hits like a torpedo!
Notting Hill,Can the most famous film star in the world fall for the man on the street?
The Thirteenth Floor,Question reality. You can go there even though it doesn't exist.
Eternity and a Day,
The Loss of Sexual Innocence,
Instinct,
Buena Vista Social Club,"In Havana, music isn't a pastime, it's a way of life."
Desert Blue,"Once You Get There, You'll Never Want To Leave"
Free Enterprise,Love long and party
Limbo,The Only Thing More Dangerous Than Death... Is Survival.
Austin Powers: The Spy Who Shagged Me,"I'm back, baby!"
The Red Violin,
Tarzan,An immortal legend. As you've only imagined.
The General's Daughter,Go behind the lies.
Get Bruce!,
An Ideal Husband,He just doesn't know it yet.
The Legend of 1900,A beatiful story of a man who could do anything... except be ordinary.
Run Lola Run,Every second of every day you're faced with a decision that can change your life.
Trekkies,
Big Daddy,Nature called. Look who answered.
The Dinner Game,
My Son the Fanatic,
Arachnophobia,"Eight legs, two fangs, and an attitude."
"South Park: Bigger, Longer & Uncut",UH-OH.
Wild Wild West,It's a whole new west.
Summer of Sam,No one is safe from son of sam
Les Amants du Pont-Neuf,Romance... In a most unlikely place.
American Pie,There's nothing like your first piece.
Arlington Road,Your Paranoia Is Real.
Autumn Tale,
Muppets from Space,Space. It's not as deep as you think.
The Blair Witch Project,The scariest movie of all time is a true story.
Eyes Wide Shut,Cruise. Kidman. Kubrick.
Lake Placid,You'll never know what bit you.
The Wood,From best friends to best men.
The Velocity of Gary,*(Not His Real Name)
Ghostbusters,They ain't afraid of no ghost.
Ghostbusters II,We're back!
Drop Dead Gorgeous,The battle between the good and the bad is bound to get ugly.
The Haunting,Some houses are born bad.
Inspector Gadget,The greatest hero ever assembled.
Trick,A story about two guys trying to make it in the big city.
Deep Blue Sea,Bigger. Smarter. Faster. Meaner.
Mystery Men,"We're not your classic heroes, we're the other guys."
Runaway Bride,Catch her if you can.
Twin Falls Idaho,A different kind of love story.
The Killing,"...Like No Other Picture Since ""Scarface"" and ""Little Caesar""!"
Killer's Kiss,Her Soft Mouth Was The Road To Sin-Smeared Violence!
Spartacus,More titanic than any story ever told!
Lolita,How did they ever make a movie of ...
Barry Lyndon,At long last Redmond Barry became a gentleman - and that was his tragedy.
The 400 Blows,Angel faces hell-bent for violence.
Jules and Jim,A Hymn to Life and Love
Vibes,The psychic comedy that's out of its mind.
The Mosquito Coast,He went too far.
The Golden Child,Eddie Murphy is the chosen one.
Brighton Beach Memoirs,
Crimes of the Heart,Meg just left one. Lenny never had one. Babe just shot one. The MaGrath sisters sure have a way with men
The Color Purple,It's about life. It's about love. It's about us.
No Mercy,"When passion and hatred know no limits, expect no mercy."
The Mission,
Little Shop of Horrors,Don't feed the plants.
The Little Shop of Horrors,The funniest picture of the year!
Allan Quatermain and the Lost City of Gold,Richard Chamberlain returns in the sequel to 'King Solomon's Mines'
The Morning After,Last night she drank to forget. Today she woke up to a murder. Is he her last hope or the last man she should trust?
Radio Days,
From the Hip,Getting To The Top Means Working Like A Dog!
Outrageous Fortune,"The CIA is trailing them, the KGB is tracking them, the phone company is tracing them, the police are chasing them, the cowboys are herding them, and the Indians are hunting them.  Are they going to fall for all of that?”"
The Bedroom Window,A violent crime. A secret affair. A single witness. And nothing is what it appears to be through... The Bedroom Window
Deadtime Stories,You made your bed... now die in it!
Light of Day,
Frances,"Her story is shocking, disturbing, compelling... and true."
Plenty,
Dick,The unmaking of the president
The Iron Giant,It came from outer space!
The Sixth Sense,Not every gift is a blessing.
The Thomas Crown Affair,How do you get the man who has everything?
The Thomas Crown Affair,
The Adventures of Sebastian Cole,
Illuminata,
The Yards,He's the target of the most merciless family in New York. His own.
Bowfinger,The con is on.
Brokedown Palace,"Their graduation present was a trip to paradise, but they never thought they would land in hell."
Detroit Rock City,Kiss The Rules Goodbye.
Better Than Chocolate,A delicious romantic comedy.
Head On,full on - all night - come on
Marcello Mastroianni: I Remember,
Heaven Can Wait,
The Raven,The Macabre Masterpiece of Terror!
The Tingler,Ghastly Beyond Belief!
The Pit and the Pendulum,Betrayal cuts both ways!
The Tomb of Ligeia,"Even on her wedding night she must share the man she loved with the ""female thing"" that lived in the Tomb of the Cat!"
The Masque of the Red Death,Horror has a face.
Haunted Honeymoon,...A Comedy Chiller
Cat's Eye,Follow the newest cat-and-creature game as played through
And Now for Something Completely Different,If the Motion Picture Industry dies... Monty Python killed it!
Damien: Omen II,The first time was only a warning.
Omen III: The Final Conflict,The power of evil is no longer in the hands of a child.
Airplane!,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?"
Airplane II: The Sequel,For the ride of your life... All you need for Christmas are your two front seats!
An American Werewolf in Paris,Things are about to get a little hairy.
National Lampoon’s European Vacation,"For over two thousand years, Europe has survived many great disasters. Now for the real test. Chevy Chase & his family are coming from America!"
National Lampoon's Vacation,Every summer Chevy Chase takes his family on a little trip. This year he went too far.
Funny Farm,Chevy Chase finds life in the country isn't what it's cracked up to be!
Big,You're Only Young Once But For Josh It Might Just Last A Lifetime.
Problem Child,Attila the Hun. Ivan the Terrible. Al Capone. They were all seven once.
Problem Child 2,
Little Nemo: Adventures In Slumberland,"Take Off On A Wonderful Adventure With ""Little Nemo"""
Oscar and Lucinda,"They dared to play the game of love, faith, and chance."
Tequila Sunrise,A business on the line. A friendship on the edge. A woman caught in the middle.
The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.
A Christmas Story,"Peace, Harmony, Comfort and Joy... Maybe Next Year."
Mickey Blue Eyes,A romantic comedy you can't refuse
Teaching Mrs. Tingle,"This summer, the teacher from hell is about to get taught a lesson."
Universal Soldier: The Return,Prepare to become obsolete
Universal Soldier,The future has a bad attitude.
Love Stinks,
Perfect Blue,The color of illusion is Perfect Blue.
In Too Deep,
Iron Eagle,
Iron Eagle II,
Iron Eagle III,
Three Days of the Condor,His CIA code name is Condor. In the next seventy-two hours almost everyone he trusts will try to kill him.
Hamlet from the Lunt-Fontanne Theatre,
Medicine Man,He turned his back on civilization. Only to discover he had the power to save it.
On the Ropes,The real fight is outside the ring.
The 13th Warrior,Prey for the living.
The Astronaut's Wife,How well do you know the one you love?
Dudley Do-Right,From the creator of 'George of the Jungle' comes a new kind of hero
The Muse,In Goddess we trust.
The Lost Son,
Chill Factor,"This Fall, Action is served on the rocks, with a twist."
Outside Providence,Tim's getting a future... whether he likes it or not!
Bedrooms and Hallways,Re-model Your Love Life.
West Beyrouth,
Stigmata,The messenger must be silenced.
Stir of Echoes,In every mind there is a door that should never be opened.
"Black Cat, White Cat",
The Minus Man,
Whiteboyz,They dreamed of the ghetto...But they woke up in Iowa.
The Adventures of Milo and Otis,Milo is one lucky cat. He's got nine lives and a best friend.
Only Angels Have Wings,BIG As The Fog-Shrouded Andes!
Othello,Orson Welles' magnificent screening of Shakespeare's immortal tragedy
Queens Logic,We're Talkin' Human Experience Here!
Public Access,Is it wise to talk to strangers?
A Soldier's Story,"Alone, far from home, and far from justice, he has three days to learn the truth about a murder...and the truth is a story you won't forget."
Alice Sweet Alice,If you survive this night... nothing will scare you again.
Nightmares,Nightmares... is this year's sleeper.
I Saw What You Did,You May Be the Target... of the Next Phone Call...
Yellow Submarine,Nothing Is Real.
American Beauty,Look closer.
Stop Making Sense,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?
Blue Streak,He's A Cop That's Not.
For Love of the Game,Billy Chapel must choose between the woman he loves and the game he lives for.
Caligula,What would you have done if you had been given absolute power of life and death over everybody else in the whole world?
A Hard Day's Night,"The Beatles, starring in their first full-length, hilarious, action-packed film!"
Splendor,Explore the possibilities...
The Buddy Holly Story,"His Story Will Have You Singing, Laughing, Crying, Cheering And Stomping Your Feet."
Fright Night,There are some very good reasons to be afraid of the dark.
Fright Night Part 2,Welcome back...
La séparation,
Barefoot in the Park,"Broadway's barest, rarest, unsquarest love play."
Deliverance,What did happen on the Cahulawassee River?
Excalibur,Forged by a god. Foretold by a wizard. Found by a king.
The Pajama Game,"Based on the hit Broadway musical, featuring the choreography of Bob Fosse."
Sommersby,She knew his face. His touch. His voice. She knew everything about him... But the truth.
Thumbelina,Follow your heart and nothing is impossible.
Tommy,Your senses will never be the same.
Hell Night,Pray for day.
Armour of God II: Operation Condor,"On his most dangerous mission ever, the world's toughest secret agent isn't going in alone."
Armour of God,Jackie Chan in his greatest adventure ever!
Double Jeopardy,Murder isn't always a crime.
Jakob the Liar,"When all hope was lost, he invented it."
Mumford,Some towns have all the fun.
Dog Park,"When it comes to dating, you better watch your step."
Guinevere,He was her first love... she was his last.
The Adventures of Elmo in Grouchland,"The Good, The Bad and The Stinky."
Simon Sez,
Drive Me Crazy,The last guy she wants is the only one she needs.
"Mystery, Alaska",A Small Town on the Outskirts of Greatness.
Three Kings,It's good to be King.
"Happy, Texas",Escaped convicts disguised as beauty pageant experts? This could get ugly
New Rose Hotel,No possession is sacred.  No secret is safe.
Plunkett & MacLeane,They Robbed The Rich...And That's It
Romance,
And the Ship Sails On,
The Dark Half,There are very good reasons to be afraid of the dark.
Gulliver's Travels,The Amazing Characters in Jonathan Swift's Immortal Fantasy Come To Life !
Monkey Shines,"Once there was a man whose prison was a chair. The man had a monkey, they made the strangest pair. The monkey ruled the man, it climbed inside his head. And now as fate would have it, one of them is dead."
Phantasm,"If this one doesn’t scare you, you’re already dead."
Psycho II,"It's 22 years later, and Norman Bates is finally coming home."
Psycho III,Norman Bates is back to normal. But Mother's off her rocker again!
Rain,A woman without shame. A woman without soul.
Sanjuro,Akira Kurosawa's Powerful and Newest Japanese Masterpiece
Random Hearts,In a perfect world...they never would have met.
Superstar,Dare to dream.
Boys Don't Cry,A true story about finding the courage to be yourself.
The Limey,Vengeance knows no boundaries.
The Mating Habits of the Earthbound Human,A How-To-Do-It Guide.
Risky Business,"Time of your life, Huh Kid."
Total Recall,"They stole his mind, now he wants it back."
Body Heat,"As the temperature rises, the suspense begins."
Ferris Bueller's Day Off,One man's struggle to take it easy.
The Year of Living Dangerously,A love caught in the fire of revolution.
Children of Paradise,The Gone With the Wind of art films
High Plains Drifter,Welcome to Hell
Hang 'em High,The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!
Citizen's Band,
Drunken Master,The Original Kung Fu Comedy!
The Conformist,Bertolucci's Masterpiece about Sex and Politics
Hairspray,The world was in a mess... but their hair was perfect!!
Brief Encounter,A story of the most precious moments in woman's life!
The Razor's Edge,The story of one man's search for himself.
Reds,Not since Gone With The Wind has there been a great romantic epic like it!
Return with Honor,
Days of Heaven,Your eyes... Your ears... Your senses... will be overwhelmed.
The Lady Eve,Barbara Stanwyck has Henry Fonda Bewitched and Bewildered
Sullivan's Travels,"The Creator of ""Lady Eve"" brings you his latest and most lilting laugh-fest!"
The Palm Beach Story,
Man Facing Southeast,Somewhere Between The Insane And The Unreal Lies The Mystery Of The Man Facing Southeast.
Niagara,A raging torrent of emotion that even nature can't control!
Gilda,There NEVER was a woman like Gilda!
South Pacific,There is nothing you can name that is anything like... [South Pacific]
Flashdance,When the dancer becomes the dance.
Indochine,
The Dirty Dozen,Train them! Excite them! Arm them!...Then turn them loose on the Nazis!
Mike's Murder,The mystery that led her into a world of incredible danger.
Help!,Stop worrying! HELP! is on the way!
Goldfinger,Everything he touches turns into excitement!
From Russia with Love,The world's masters of murder pull out all the stops to destroy Agent 007!
Dr. No,NOW meet the most extraordinary gentleman spy in all fiction!
The Blue Lagoon,A sensuous story of natural love.
A Fistful of Dollars,"In his own way he is perhaps, the most dangerous man who ever lived!"
Hard Eight,"When good luck is a long shot, you have to hedge your bets."
Home Alone 2: Lost in New York,He's up past his bedtime in the city that never sleeps.
Someone to Watch Over Me,"Where protection ends, obsession begins."
Fight Club,Mischief. Mayhem. Soap.
The Story of Us,
Fever Pitch,Life Gets Complicated When You Love One Woman And Worship Eleven Men
Julien Donkey-Boy,
The Straight Story,
The Bad Seed,A WOMAN'S SHAME...Out in the Open!
Time Bandits,All the dreams you've ever had and not just the good ones.
A Man and a Woman,See It With Someone You Love!
Fitzcarraldo,
All That Jazz,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.
Red Sorghum,
Crimes and Misdemeanors,A film about humanity.
Bats,They will suck you dry
The Best Man,
Bringing Out the Dead,
Crazy in Alabama,
Three to Tango,All's fair in the war of love.
Body Shots,Tonight it's for sex. Tomorrow it's for real.
Brother Can You Spare A Dime,
The Guardian,"Tonight, while the world is asleep... an ancient evil is about to awaken."
The Ipcress File,The spy story of the century.
On Any Sunday,Take a trip at 265 mph
RoboCop,Part man. Part machine. All cop. The future of law enforcement.
RoboCop 2,He's back to protect the innocent.
Who Framed Roger Rabbit,"It's the story of a man, a woman, and a rabbit in a triangle of trouble."
Melvin and Howard,"Poor Melvin. All he wanted was to be Milkman of the Month. Instead, he lost his job, his truck, and his wife. Then Howard Hughes left him $156,000,000."
For Your Eyes Only,"No one comes close to James Bond, 007."
Licence to Kill,His bad side is a dangerous place to be.
Live and Let Die,Roger Moore is James Bond.
Rawhead Rex,"He's pure evil, pure power, pure terror"
Thunderball,Look up!  Look down!  Look out!
House on Haunted Hill,Evil loves to party.
Music of the Heart,She gave them a gift they could never imagine. They gave the system a fight it would never forget.
Being John Malkovich,Ever wanted to be someone else? Now you can.
Dreaming of Joseph Lees,
Princess Mononoke,The Fate Of The World Rests On The Courage Of One Warrior.
The Suburbans,Never before has a girl done so much with so little.
My Best Fiend,
Train of Life,
The Bachelor,One thousand brides. One hundred million dollars. Jimmie Shannon is about to discover the true value of love.
The Bone Collector,Serial killer vs. forensic genius
The Insider,Two men driven to tell the truth... whatever the cost.
American Movie,
Last Night,It's not the end of the world... there's still six hours left.
Rosetta,
"They Shoot Horses, Don't They?",People are the ultimate spectacle.
Bride of Re-Animator,Date. Mate. Re-animate.
Coma,Imagine your life hangs by a thread. Imagine your body hangs by a wire. Imagine you're not imagining.
Creepshow,The Most Fun You'll Ever Have... BEING SCARED!
Creepshow 2,"When the curtain goes up, the terror begins."
Re-Animator,Herbert West has a good head on his shoulders... and another on his desk.
Drugstore Cowboy,
Falling Down,A Tale Of Urban Reality
The Funhouse,Pay to get in. PRAY to get out.
The General,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad)."
Piranha,A hideous death lurked unseen in the river...
Rough Night in Jericho,A former deputy and a strong-willed widow determine to stop a ruthless town boss.
The Taming of the Shrew,A romantic film amorously devoted to every man who ever gave the back of his hand to his beloved...and to every woman who deserved it!
Nighthawks,A terrorist holds New York in a grip of fear - and only Stallone can take him on.
Yojimbo,Better if all these men were dead. Think about it!
Repossessed,The Devil's back. But he's never dealt with an exorcist like this!
The Omega Man,The World Is Dead. One Survivor. Then The Others. Crawling In Darkness. The Strangest Sect Of All. *Hunting The Last Man On Earth.*
Spaceballs,May the schwartz be with you
Robin Hood,Meet Robin Hood and his MERRY MENagerie!
Mister Roberts,All The Uproarious Fun Of the Smash Broadway Play!
Quest for Fire,
Little Big Man,Either The Most Neglected Hero In History Or A Liar Of Insane Proportion!
A Face in the Crowd,"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!"
Trading Places,Some very funny business.
Meatballs,"When this lot go back to nature, nature runs for it's life."
Meatballs Part II,The insanity continues...
Meatballs III: Summer Job,Rudy struck out two summers in a row... this will be his year to score!
Meatballs 4,"There's only one thing wilder, crazier and sexier then last summer - this summer."
Dead Again,A Mystery About True Love...And Certain Death.
Peter's Friends,
The Incredibly True Adventure of Two Girls In Love,
Experience Preferred...But Not Essential,
Under the Rainbow,Who knew so many little people would throw such a huge party?
Anywhere But Here,A story of a mother who knows best... and a daughter who knows better.
Dogma,It can be Hell getting into Heaven
The Messenger: The Story of Joan of Arc,
Pokémon: The First Movie: Mewtwo Strikes Back,The Pokémon Match of All Time is Here.
Felicia's Journey,
Where's Marlowe?,"A comedy about passion, murder and things that can only happen in the movies."
The Commitments,"They had nothing to lose, they risked it all."
Holiday Inn,
The Longest Day,This is the day that changed the world... When history held its breath.
Poison Ivy,"What Ivy wants, Ivy gets."
Poison Ivy: The New Seduction,All the rules are about to be broken.
Tora! Tora! Tora!,The incredible attack on Pearl Harbor.
Women on the Verge of a Nervous Breakdown,
The Verdict,"The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case."
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,
The Adventures of Buckaroo Banzai Across the 8th Dimension,Beings from Another Dimension have invaded your world.
Stand and Deliver,"At a tough school, someone had to take a stand...and someone did. Together, one teacher and one class proved to America they could..."
Moonstruck,
Jeremiah Johnson,"His Mountain. His Peace. His Great Hunts. His Young Bride. With All That, It Should Have Been Different."
